Id,product_id,rating,review_title,review_text,timestamp,date,year,month,text_length,sentiment_label,ai_sentiment,ai_confidence,sentiment_score
337855,B003747XQ0,1,What a mess,All of the cherry candys leaked out due to being crushed. The Candy syrup stuck everything together. I could not even get the paper off the second layer because of the gooey mess. The chocolates were discolored. When I previously ordered from Li'l Big Shots everything arrived in excellent condition. Maybe ordering candy in the warm months is not a good idea.,1339891200,2012-06-17,2012,6,360,Negative,Negative,0.9993,-0.9993
452179,B000FIWIWA,4,a nice change of pace,not a great bargain but a nice xylitol change of pace flavor - they de solve quickly,1244592000,2009-06-10,2009,6,84,Positive,Positive,0.9978,0.9978
479042,B001E5E074,5,My favorite cereal,Best price for this cereal I've seen in years! And with free shipping it's a no brainer.,1258070400,2009-11-13,2009,11,88,Positive,Positive,0.9907,0.9907
105598,B000K8XM2A,2,Healthy but painful!,"Freshly diagnosed with Celiac disease, I ventured to Whole Foods to find some delicious gluten-free snacks. These came highly recommended by an employee. Though the taste is pleasing, they literally hurt my teeth to chew! Every few bites I have to check to make sure all my teeth are in tact. I am 26 yrs old with great oral hygiene and have never had a problem like this before!",1327363200,2012-01-24,2012,1,379,Negative,Negative,0.7156,-0.7156
494419,B004CH2Y1A,5,Always good!,"This has been my favorite candy for years,<br />Love having a big jar to share with my friends.<br />My Pitbull adores this candy and I cannot even<br />sneak a piece without her finding me and drooling<br />and begging for a bite.",1319500800,2011-10-25,2011,10,231,Positive,Positive,0.9873,0.9873
4728,B00139TT72,5,Good quality,I feel good about the quality and mix it with canned PN food. She doesn't care for it by itself but then she doesn't like any dry dogfood.,1310688000,2011-07-15,2011,7,138,Positive,Negative,0.9561,-0.9561
155117,B000GAT6NG,5,Nutiva,"I have been using Nutiva coconut oil for over a year now and I love this product, the texture, the taste.. Wonderful and light and delicious ... I have tried other brands but they have a funny after taste. I substitute coconut oil for all my cooking and baking if I can.. I use half and half with butter to cut down the cholesterol but still get a buttery taste, I float a teaspoon on my hot chocolate for quick morning energy (divine) .. I pop the pop corn in my ""whirly pop"" machine... YUMMY.",1334275200,2012-04-13,2012,4,494,Positive,Positive,0.9993,0.9993
354779,B003Q4TZ12,5,Delicious and less sugar.,"I noticed when I went to Einstein's that Oregon Chai concentrate is what they use to make my chai latte, so I decided to purchase my own concentrate to make my own chai lattes at home and at a better price. I found the ""Slightly Sweet"" version on Amazon and happily purchased it. This chai has all the right spices (cardamom, black pepper, cinnamon, etc.) and (I think) a much better level of sweetness (especially when mixing with vanilla soy milk) for a tasty mid-afternoon drink. It is delicious. Buying it in a six pack from Amazon was convenient and economical.",1298419200,2011-02-23,2011,2,566,Positive,Positive,0.9997,0.9997
177600,B004U49QU2,3,Gooey and sweet,"I'll have to hand it to the advertisers: the product is exactly as advertised--- chewy, gooey, and mega in the fudge department. If that's what you like, that's great, but I found these to be cloyingly sweet, and the super-sweetness destroyed what could have been a nice chocolate flavor.<br /><br />The packaging was also strange. The cookies came in rows; seven cookies in one row, three in another, and so on. Not really a problem but very odd.<br /><br />The cookies are very soft and indeed have a very chewy texture. They are packed with truly gooey fudge (have a napkin on hand for these) with lots of chocolate flavor. If only they weren't so terribly sweet, this would be a fine product. As it stands, it's a sugar high--- and a messy one at that--- but not a product that I'd rush out to buy.",1311292800,2011-07-22,2011,7,802,Neutral,Negative,0.9896,-0.9896
98826,B005JYSONC,4,"Lithe and balanced, Woodford is a polished sophisticated bourbon.","Woodford Reserve has a cult following and it's easy to understand why: it has a lean, semi-dry, aspect that emphasizes herbal and botanical notes and downplays the resiny fruity ""candy corn""'aspect one often finds in bourbons. It is sophisticated and grown up hooch for more discriminating palates.<br /><br />Woodford is a lovely medium amber color - darker than Makers or Beam but lighter than lighter than, say Kentucky Spirit or Craig 18. It's lovely. Nose is full of toffee walnut and tobacco. There's some leather and cream too. First sip opens bright with honeyed corn. Vanilla notes from oak arrive shortly and the midpalate blooms with herbal and floral aspects that mute the sweetness combined with the leather and tobacco meets toffee aspect. Finish is medium long and a bit dry with oak vanilla floral qualities and a kiss of distant smoke. It's a very tasty experience - if lacking the depth of flavor of the very best. The absence of ""corn likker"" fruitiness is most appreciated. This is a good bourbon for convincing scotch drinkers to consider bourbon.",1327363200,2012-01-24,2012,1,1068,Positive,Positive,0.999,0.999
342565,B000F4GPC8,1,Bitter!!! I don't remember Miso-cup tasting this awful! Sticking to Kikkoman,"I am a fan of Miso soup. The rest of the household is not. I can buy Miso paste at my local grocery in both red and white, and it tastes wonderful, but to save on fridge space, I often purchase Kikkoman brand miso soup and recall having ordered the traditional version of Miso Cup soup a while ago and it was comparable. While it didn't contain any tofu or wakame seaweed, I have dried wakame in the pantry that I can easily add to an instant powder, and I have tofu as well (though I prefer not to open a whole package of tofu for a single serving of miso soup).<br /><br />The first mistake I made with this soup was to throw it in a single-serving bowl and then realizing each packet was meant to make two servings. So I poured the contents into a larger container and added the two servings of boiling water from my electric kettle. I had to stir vigorously and still ended up with a large chunk of goop at the bottom that I had to mash apart in order to dissolve. It does not dissolve easily, even in a rolling boil. It reminds me a bit of the trouble I have when I want to mix cocoa powder mix for hot chocolate and having it clump up.<br /><br />The first taste of this soup was DISGUSTING. Nothing like what miso soup was supposed to taste like. It was rancid and bitter. I couldn't eat more than two sips - I threw the remaining portions out immediately. Bitter bitter bitter! Disgusted, I read the packaging more carefully -- the Miso cup brand labels this soup as ""Savory Soup with Seaweed"". In fact, I don't even think this is actual miso soup - the other three versions listed on the package were all clearly labeled as various versions of Miso soup.<br /><br />I made a friend taste it before I tossed it out, and we both agreed that it was bitter ""like coffee."" I hate coffee. This tasted bitter, and left a bitter aftertaste in my mouth. I have to wonder whether my package was expired or foul - that's how awful it was.<br /><br />I think I was duped by the brand name - ""Miso Cup"" is the brand, and this is not at all a miso soup. Either that, or I received a very disgusting rancid batch. This is nothing like the ""Miso Cup"" actual ""Traditional Miso"" variety that I remembered eating in the past. I am so disgusted I am not going back to this brand at all, I am sticking to the sweeter Kikkoman brand that includes dehydrated wakame and tofu. It's many times more expensive, but it actually tasted like Miso soup. I realize this ""Miso Cup"" brand is supposed to be more natural, but if I wanted I could easily just buy the miso paste at the grocer and make it myself (mix with boiling water), especially if I'm going to have to add the wakame myself. At least the flavor would be consistent with that faintly sweet miso taste.<br /><br />No more bitter junk for me. I can't see how anyone could consider this appetizing. I can only hope that I received a rancid batch.",1313625600,2011-08-18,2011,8,2886,Negative,Negative,0.7464,-0.7464
262311,B002CZLOIS,4,Good price in store and good treats...,"I almost didn't buy these because they are made by Pedigree, a company that makes HORRIBLE dog food. but I needed a dental treat other than a cookie type so i bought a pack. I really like the texture! AND the price. I can buy these at petsmart for $3-$4 a bag of 24. When they're on sale that makes them about $0.12 a piece, and at $4 they're about $0.17 each, good deal. My dog prefers the taste to greenies and have about the same ingredients. My dog accumilates plaque at an astounding rate so he gets a dental treat of some sort once a day, not always dentastix but i like this product and i'll continue to rebuy.",1343952000,2012-08-03,2012,8,617,Positive,Positive,0.9582,0.9582
479456,B000KPMI6Y,3,"Some People Can Make the Best Coffee with ""Chock Full O'Nuts""","Some people can make the Best coffee with the 'Chock Full O'Nuts' brand. I'm not one of them, but my mom sure is. Not sure how she does it except that she measures one cup of water for one scoop of coffee (or something like that-- geez is it any surprise that hers is better than mine?)<br /><br />Mom's coffee comes out with a deep, dark flavor that is absolutely yummy after dinner. It manages to revive the adults even after a huge Thanksgiving meal.<br /><br />Three Stars. My advice would be to try this affordable coffee if you have the magic coffee touch. But if you are a mere mortal like myself, stick to more idiot proof brands. Or only buy one experimental can.<br /><br />And yes, alas... no nuts in Chock Full O'.",1140652800,2006-02-23,2006,2,726,Neutral,Positive,0.9988,0.9988
469109,B000ELVSX8,3,Shimmer,"Product arrived in a little cracked plastic bottle. However, was able to use it since it did not go to waste. The packaging or handling for this product should be done more carefully. Nice color, nice effect.",1323820800,2011-12-14,2011,12,208,Neutral,Positive,0.974,0.974
381920,B001LNHQ34,5,In The Pink,Salt comes in a sturdy aluminum pouch with a screw cap. We live in South Texas where the humidity can turn salt into a brick overnight. This packaging keeps the salt nice and dry. Salt is finely ground which we liked as most dishes require a pinch. Taste is very mild and doesn't bite you with lingering after taste like regular table salt can do. 5 Stars,1314057600,2011-08-23,2011,8,355,Positive,Positive,0.9969,0.9969
446572,B0017ZBT6Q,5,Just what I wanted - yummy!,Was craving these as the vending machine downstairs at work only stocks them occasionally. Wish they were sold in stores. So had to resort to finding them on Amazon. They arrived quickly and in great condition. Hopefully I can make them last over a month before I'm forced to reorder more. Nom nom nom.,1347148800,2012-09-09,2012,9,302,Positive,Positive,0.8794,0.8794
283624,B000FPKMK8,5,Utz Extra Dark Pretzels,"When we moved from NY to AZ, I realized I would never see my beloved Utz Special Dark Pretzels in the supermarket. They are not carried here! Whenever people visited from back east, all I wanted was a few bags of Utz Special Dark Pretzels. They always came through with a few bags of the delicious pretzels in hand. Well, no one came to visit for a while as it is too hot here. I found my favorite snack online and ordered them immediately. They came fast, fresh and in no time I was lounging eating my favorite crunchy snack. If you crave crunch, a little extra kick (from the ""over"" baking), these are the snacks for you! Low fat, slightly salty - basically guilt free...what could be better?",1346112000,2012-08-28,2012,8,694,Positive,Positive,0.9704,0.9704
160085,B000HDJXH6,5,Tasty and convenient,My son with multiple food allergies loves these. I find them tasty too. They really do have a caramel-like taste.,1184544000,2007-07-16,2007,7,113,Positive,Positive,0.9997,0.9997
190614,B0045H0CTS,5,Relish with a Kick,"Really good addition to any picnic. This condiment adds a little zest when added to a hotdog or burger. I mix it generously in cottage cheese to enjoy its dill taste. Too bad its difficult to get at the grocery. Seems like they're hiding it for themselves. 26 oz. bottles are best but only available sporadically.<a href=""http://www.amazon.com/gp/product/B0025UC8BC"">Heinz Dill Relish, 12.7- fl. Ounce Bottles (Pack of 12)</a>",1334361600,2012-04-14,2012,4,426,Positive,Negative,0.6275,-0.6275
38081,B001E5DQOW,5,Not you typical mix,"Iveta scone mix is better than the ones I had made from scratch. They were so good I actually did a whole blog entry on them! One word of caution. If you like the more dense, traditional scones you going to be disappointed in these. These are are very light and tender scones.",1249430400,2009-08-05,2009,8,276,Positive,Positive,0.9909,0.9909
23083,B004ZIER34,4,Dark Roast without Lots of Bitterness,"I love dark roast coffee, but my husband hates the bitterness. Due to our differences in taste, I have two coffee makers in my kitchen, one for his light-medium roasts and one for my favorite espresso or French roast. Puroast Low Acid French Roast Coffee makes it easy for us to both to share a pot of coffee.<br /><br />Depending on how strong you like your coffee, the three ounce pack is very finely ground making it suitable for both drip coffee makers or French presses (Bodums). I own both and made the pot of coffee in our drip coffee maker. Because my husband dislikes strong coffee, I used half the pack and it was more than enough for the 12-cup pot. The strength was perfect in my opinion.<br /><br />The flavor of the dark roast comes through clear. I loved the smokiness left on my tongue after the cup, but there is no bitterness. It's smooth and satisfying. My husband, the dark roast skeptic, said there was no way he would like French roast. After one sip, he said it was very smooth and lacked the bitter aftertaste that he dislikes with dark roasts. Overall, I'd say that's a win!",1312502400,2011-08-05,2011,8,1099,Positive,Positive,0.9864,0.9864
116130,B00473Q6I6,5,good cornbread,"I love this cornbread, and it's hard to find in the supermarket, so I buy it here in bulk. I think it's the only brand that says gluten free on the label. It keeps selling out, so other people like it too.",1299110400,2011-03-03,2011,3,205,Positive,Negative,0.9241,-0.9241
201007,B000HE6PR6,5,Love these treats!,"These are one of my corgi's favorite treats! My mother-in-law bought us a little package when we adopted him and he's been hooked ever since so I love that they come in a large tub. I love that the only ingredients are chicken, wheat flour & salt-- healthy & delicious!",1303430400,2011-04-22,2011,4,269,Positive,Positive,0.9994,0.9994
